"cases","t_mean","pre_total","ips_n_hum_bas","p_male","Natural.Forest","log_forestloss","log_perm_crop","log_ntfp","log_cattle","year","cod_mun","pop","inci","E","SIR"
6,0.650068609463537,-0.741699282944124,0.914572511265264,-1.2943105745422,-1.25943513806841,-0.869796551700423,-0.670690804394718,1.06047365924595,0.0339371670218803,2015,210632,20815,0.000288253663223637,13.2410873824182,0.453134990104131
2,0.990755580849243,-0.854105608577915,0.914572511265264,-1.2943105745422,-1.20824659871268,-0.413321451190654,-0.929198253407133,1.06980024371185,0.0412538574232042,2016,210632,21063,9.49532355315007e-05,13.3988481160641,0.14926656251907
13,0.5397110429824,0.138614718767216,0.914572511265264,-1.2943105745422,-1.24626536766424,-0.459434299435963,-0.745716373273847,1.07091495588873,0.0949193758726886,2017,210632,21293,0.000610529281923637,13.5451584738809,0.959752521542505
0,-0.116287278096979,-0.55576805170119,0.061128550386397,0.13578693334905,-1.64312533093124,0.538589829356878,-0.872979743691381,0.487511866619065,-0.662953013859681,2001,210637,7826,0,4.97836895771341,0
7,0.215409429773349,-0.616158640010193,0.061128550386397,0.13578693334905,-1.57618798695252,-0.158220205708878,-0.81090464931773,0.635098483798411,-0.62055503891695,2002,210637,9027,0.000775451423507256,5.74236347831319,1.2190102605724
1,0.137448390883022,-0.51283571963467,0.061128550386397,0.13578693334905,-1.6147129841116,0.134454204386529,-0.766472063381943,0.62504347329735,-0.571037778579309,2003,210637,9298,0.000107550010755001,5.91475524774078,0.169068703287759
9,-0.0989210262590108,-0.498879776766555,0.061128550386397,0.13578693334905,-1.65035788899597,0.237610018916797,-0.735667461875511,0.626892063261253,-0.501768477320444,2004,210637,9865,0.000912316269640142,6.27544208635866,1.43416190861898
11,0.179972888860689,-0.000896714394688792,0.061128550386397,0.13578693334905,-1.50665004147427,-0.196055741519561,-0.706730986672545,0.638688260232037,-0.329174852058688,2005,210637,10179,0.00108065625307005,6.47518753137808,1.69879249777634
8,-0.0889974537801483,-0.591687216614967,0.061128550386397,0.13578693334905,-1.54032866658434,0.495978132774269,-0.688370813066941,0.62411570930996,-0.30516140952575,2006,210637,10491,0.000762558383376227,6.67366071241649,1.19874239113113
5,0.0998845976747664,-0.254574491755818,0.061128550386397,0.13578693334905,-1.76684774433132,0.692668057533394,-0.688370813066941,0.81788113307022,-0.0686855111348069,2007,210637,11887,0.000420627576343905,7.56170097116526,0.661226887847893
4,-0.288869407537717,-0.0195198640986693,0.061128550386397,-0.707647978568495,-1.82253148324651,-0.0174335836568135,-0.755981406777406,0.60309431985294,-0.0679749162981172,2008,210637,12299,0.000325229693471014,7.82378735125445,0.511261339351031
11,-0.100342078377241,0.291065731469555,0.061128550386397,-0.707647978568495,-1.77793827044157,-0.669896744040337,-0.755981406777406,0.55931612442517,-0.0686855111348069,2009,210637,12684,0.00086723431094292,8.06869816759992,1.36329303333849
9,0.462411863983039,-0.539966561359347,0.061128550386397,-0.707647978568495,-1.73212733366315,-0.324994845010249,-0.755981406777406,0.930923294288099,-0.0638410759461879,2010,210637,14065,0.000639886242445787,8.94719644649108,1.00590168706194
29,0.0303428059237462,0.336193546554646,0.061128550386397,-0.707647978568495,-1.7059954448572,-0.571798218945358,-0.788171511901776,0.951069667528416,-0.0565292388831928,2011,210637,14118,0.00205411531378382,8.98091144198799,3.22907092307111
22,0.4374363863428,-1.29388232146525,0.061128550386397,-0.707647978568495,-1.63472037948103,-0.634695617110323,-1.32377661640636,0.960184262552301,-0.0944753673609519,2012,210637,14524,0.00151473423299367,9.23918103013412,2.3811634308545
17,0.462926643897962,-0.654040865139457,0.061128550386397,-0.707647978568495,-1.68742892377008,-0.0642392997647672,-0.788171511901776,0.975614581780007,-0.0871707111127336,2013,210637,15011,0.00113250283125708,9.54897730951138,1.78029536032795
8,0.461178987715913,-0.0922171547292005,0.061128550386397,-0.707647978568495,-1.77724488322356,-0.0743434148852508,-0.79940275152724,0.985905912198034,-0.0533199688245027,2014,210637,15384,0.000520020800832033,9.78625454197076,0.817473116572845
5,0.626812669774642,-0.611184009131108,0.061128550386397,-0.707647978568495,-1.67096664992258,-0.726868605375923,-0.735667461875511,1.01159418055666,0.00436542758470512,2015,210637,15734,0.000317783144782001,10.0089007386485,0.499555358831061
3,0.948673404269393,-1.04252166128265,0.061128550386397,-0.707647978568495,-1.64937701183707,-0.248077639762497,-0.766472063381943,1.04884473614494,-0.00325384787419886,2016,210637,16062,0.00018677624206201,10.217552031535,0.293612402534475
12,0.479910055210953,-0.000562076400418534,0.061128550386397,-0.707647978568495,-1.73139536169229,0.0286110169049594,-0.766472063381943,1.06502495535316,0.0296257879506232,2017,210637,16366,0.000733227422705609,10.4109361566493,1.15263409739918
0,0.327388120398743,0.169120450960398,-0.477813448359553,-0.47869101997764,-0.811530297418536,-0.246646348940369,-0.516330079544563,0.463949145943158,-0.518898383229519,2001,210650,19826,0,12.6119528438061,0
0,0.696294980653332,-0.484943190518972,-0.477813448359553,-0.47869101997764,-1.06772630899329,0.56188416924734,-0.516330079544563,0.461075941481772,-0.515451490823779,2002,210650,20041,0,12.7487212217652,0
1,0.56057368865474,0.181235902806895,-0.477813448359553,-0.47869101997764,-1.10100033244026,0.0398447888425856,-0.510090701008394,0.461075941481772,-0.430371310423149,2003,210650,20418,4.89763933783916e-05,12.9885429821866,0.076990929727181
0,0.336607655640794,-0.0104077439587738,-0.477813448359553,-0.47869101997764,-0.835127592141461,-0.401488880587527,-0.510090701008394,0.458180289883071,-0.311242335326329,2004,210650,21207,0,13.4904511226972,0
1,0.567661645719491,-0.212808754429884,-0.477813448359553,-0.47869101997764,-1.15099309142154,0.417279551224168,-0.542136670343889,0.458180289883071,-0.257890167543884,2005,210650,21644,4.62021807429311e-05,13.7684408025491,0.0726298652360738
0,0.282388136653389,-0.030385327854699,-0.477813448359553,-0.47869101997764,-1.2112851091383,-0.164404572746669,-0.542136670343889,0.455261837643394,-0.210878356083262,2006,210650,22078,0,14.0445220864294,0
0,0.557736991770349,-0.395008251000838,-0.477813448359553,-0.47869101997764,-1.04965231780544,-0.382496779716357,-0.576490029173543,0.452320222842149,-0.269405686910213,2007,210650,20422,0,12.9910875101487,0
0,0.0963406191423081,0.357223238395713,-0.477813448359553,-1.09142015965176,-1.30303194482294,0.19119106577589,-0.605871959995618,0.443352651876296,-0.199568954452475,2008,210650,21037,0,13.3823086843109,0
1,0.240214035088799,0.237432414798096,-0.477813448359553,-1.09142015965176,-1.21308425356618,-0.766829568075215,-0.706730986672545,0.438786168822523,-0.22093595058477,2009,210650,21204,4.71609130352764e-05,13.4885427267257,0.0741369931696652
0,0.878801764043296,-0.934070014762621,-0.477813448359553,-1.09142015965176,-1.15242317160893,-0.370635922106159,-0.735667461875511,0.437251419137115,-0.231787161761707,2010,210650,21885,0,13.9217486122614,0
0,0.379181901257183,0.073585813466604,-0.477813448359553,-1.09142015965176,-1.07253870565607,-0.319923714213094,-0.900261778204167,0.435710287937783,-0.235611605534628,2011,210650,22089,0,14.051519538325,0
1,0.922488842711198,-1.58671517763526,-0.477813448359553,-1.09142015965176,-1.5085270986302,0.374281023219237,-1.13024582487473,0.458180289883071,-0.232269950766344,2012,210650,22286,4.48712195997487e-05,14.176837540455,0.0705375932500037
1,0.925830586276906,-1.2851256220046,-0.477813448359553,-1.09142015965176,-1.37915695435867,-0.201367861355708,-1.17801622623955,0.294580191639558,-0.243793037582484,2013,210650,22515,4.44148345547413e-05,14.3225117662813,0.0698201555926974
0,0.970594809472734,-0.413009698969321,-0.477813448359553,-1.09142015965176,-1.479084439133,-0.448055042193851,-1.29084592826106,0.266416659621524,-0.255672363683281,2014,210650,22673,0,14.4230206207815,0
0,1.13069136303408,-1.179448552049,-0.477813448359553,-1.09142015965176,-1.35325664219043,-0.723706035221177,-1.26004132675463,0.241193220601496,-0.231660190695601,2015,210650,22822,0,14.5178042873672,0
0,1.40714764385048,-1.61000073145917,-0.477813448359553,-1.09142015965176,-1.45992416488589,-0.282194004617784,-1.35914877105767,0.199814812067365,-0.217124819168278,2016,210650,22962,0,14.6068627660383,0
0,0.858649644430113,-0.70231337229776,-0.477813448359553,-1.09142015965176,-1.43753487420192,-0.477997905434212,-1.32377661640636,0.202721819278727,-0.241249208376552,2017,210650,23091,0,14.6889237928138,0
6,0.213281096007048,-0.391659148413942,0.234104629559501,-0.50720173770687,1.21235194777651,0.350266659079662,-1.53466589038637,-0.103679583171707,-1.16514387328318,2001,210680,13144,0.000456482045039562,8.36131888323347,0.717590141434684
3,0.56624059360126,-0.615030445031503,0.234104629559501,-0.50720173770687,1.34659765147379,-0.856985304116208,-1.53466589038637,-0.0971193850222069,-1.16009412371054,2002,210680,13248,0.000226449275362319,8.42747661024627,0.355978442746735
6,0.479068671232381,-0.0011092722688501,0.234104629559501,-0.50720173770687,1.21313804286857,0.31691832830317,-1.43888463139914,-0.0971193850222069,-1.15031158893286,2003,210680,13360,0.000449101796407186,8.49872339318314,0.705988384656998
9,0.228167536195791,0.0460044503009609,0.234104629559501,-0.50720173770687,1.30902831309223,-0.569659526315269,-1.43888463139914,-0.0971193850222069,-1.14297889003941,2004,210680,13597,0.000661910715599029,8.64948667493347,1.04052417654823
4,0.43051713866186,-0.793985185852646,0.234104629559501,-0.50720173770687,1.24970986256062,-0.0450735919323557,-1.43888463139914,-0.0906732830778364,-1.11423613693061,2005,210680,13727,0.000291396517811612,8.73218383369947,0.458075560040674
3,0.171115646205615,-0.433251621257649,0.234104629559501,-0.50720173770687,1.35772878928108,-0.825907231761627,-1.43888463139914,-0.0843373763236447,-1.09026628661601,2006,210680,13857,0.000216497077289457,8.81488099246547,0.340333579382893
6,0.383384495268924,-0.962319207150598,0.234104629559501,-0.50720173770687,1.27493139675606,-0.0599413515616909,-1.3973536085705,-0.0781079604535174,-0.980410891116142,2007,210680,13786,0.000435224140432323,8.76971562113942,0.684172698318402
3,-0.0532072720435819,0.210102796520073,0.234104629559501,-0.515820163879031,1.28581859299361,-0.219979544828973,-1.3973536085705,-0.015715903594154,-0.933543595514657,2008,210680,14201,0.000211252728681079,9.03371039720013,0.332089459158422
7,0.137088261236685,0.95601213383217,0.234104629559501,-0.515820163879031,1.28601644572216,-0.273904682185574,-1.43888463139914,-0.000376824193358409,-0.921434259115071,2009,210680,14311,0.000489134232408637,9.10368491615598,0.768919406204114
9,0.75866770505883,-0.831725835802151,0.234104629559501,-0.515820163879031,1.33484623339997,-0.428614808857181,-1.35914877105767,0.00459830445796911,-0.936405411352423,2010,210680,14218,0.000633000422000281,9.04452464103876,0.995077171791126
18,0.314951210687795,0.495960439379171,0.234104629559501,-0.515820163879031,1.3424131559264,-0.341292197951914,-1.48437671979268,0.00950753542587362,-0.961706790926686,2011,210680,14312,0.00125768585802124,9.10432104814648,1.97708317894441
6,0.849398746546097,-2.52133125853383,0.234104629559501,-0.515820163879031,1.16891855362735,0.531345034826702,-1.48437671979268,0.014352591600191,-0.971654685568629,2012,210680,14402,0.000416608804332732,9.16157292729218,0.654909375018573
12,0.853847915811333,-1.87930506286876,0.234104629559501,-0.515820163879031,1.14330780465505,0.223905637122809,-1.48437671979268,0.0285189599945632,-0.986728450829904,2013,210680,14504,0.000827357970215113,9.22645839032397,1.30060739368691
7,0.827736894240946,-0.837765923947046,0.234104629559501,-0.515820163879031,1.19246405824195,-0.176294040209436,-1.48437671979268,0.0331232616820549,-0.976935861800272,2014,210680,14570,0.000480439258750858,9.26844310169748,0.755250900630547
6,0.925817608631873,-1.36032934490027,0.234104629559501,-0.515820163879031,1.30675969660384,-1.13466678568283,-1.48437671979268,0.0331232616820549,-0.969603466360994,2015,210680,14632,0.000410060142154183,9.30788328510896,0.644614872814208
4,1.24214121462924,-2.01720993322882,0.234104629559501,-0.515820163879031,1.24954740564469,-0.14821162871292,-1.48437671979268,0.0376710674439077,-1.06810388206673,2016,210680,14690,0.000272294077603812,9.3447789405584,0.428046508691513
3,0.724651134794038,-0.798882105176547,0.234104629559501,-0.515820163879031,1.25393852333015,-0.52518256178627,-1.43888463139914,0.0238567410447556,-1.17178697108543,2017,210680,14744,0.000203472599023332,9.37913006804582,0.319859089087679
